config_id,scenario,baseline_v2_n,v3_n,adaptive_send_slow_ms,adaptive_step_up_ms,adaptive_max_batch_window_ms,baseline_v2_trial_run_ids,v3_trial_run_ids,baseline_v2_trial_run_dirs,v3_trial_run_dirs,baseline_v2_latency_mean_ms,baseline_v2_latency_p50_ms,baseline_v2_latency_p95_ms,baseline_v2_latency_p99_ms,v3_latency_mean_ms,v3_latency_p50_ms,v3_latency_p95_ms,v3_latency_p99_ms,latency_p95_delta_ms,latency_p95_delta_pct,baseline_v2_proxy_downstream_bytes_out,v3_proxy_downstream_bytes_out,downstream_bytes_delta_pct,baseline_v2_proxy_downstream_frames_out,v3_proxy_downstream_frames_out,downstream_frames_delta_pct,baseline_v2_proxy_inter_frame_gap_stddev_ms,v3_proxy_inter_frame_gap_stddev_ms,baseline_v2_proxy_frame_rate_stddev_per_s,v3_proxy_frame_rate_stddev_per_s,inter_frame_gap_stddev_delta_ms,frame_rate_stddev_delta_per_s,v3_min_effective_batch_window_ms,v3_max_effective_batch_window_ms,v3_adaptive_window_increase_events,v3_adaptive_window_decrease_events,v3_last_adaptation_reasons,window_adjusted,stability_improved,stability_improvement_metrics,latency_guardrail_ok,byte_guardrail_ok,scenario_supports_positive_adaptive_claim
cfg4e00a8ba,bandwidth_200kbps,2,2,25,50,500,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg4e00a8ba-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg4e00a8ba-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4e00a8ba\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4e00a8ba\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,171.818,170.0,273.725,282.345,3.725,1.4%,13051.0,13051.0,0.0%,5.0,5.0,0.0%,48.535,47.719,0.0,0.0,-0.816,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,True,['proxy_inter_frame_gap_stddev_ms'],True,True,False
cfg5f7446c3,bandwidth_200kbps,2,2,25,50,1000,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg5f7446c3-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg5f7446c3-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg5f7446c3\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg5f7446c3\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,163.508,163.75,262.225,267.5,-7.775,-2.9%,13051.0,13051.0,0.0%,5.0,5.0,0.0%,48.535,49.974,0.0,0.0,1.438,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,True,False
cfg4185a99e,bandwidth_200kbps,2,2,25,100,500,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg4185a99e-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg4185a99e-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4185a99e\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4185a99e\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,178.3365,175.75,281.25,287.805,11.25,4.2%,13051.0,13504.5,3.5%,5.0,5.5,10.0%,48.535,423.189,0.0,0.0,374.654,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,True,False
cfg4bbd8023,bandwidth_200kbps,2,2,25,100,1000,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg4bbd8023-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg4bbd8023-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4bbd8023\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4bbd8023\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,172.155,168.5,275.95,278.845,5.95,2.2%,13051.0,13051.0,0.0%,5.0,5.0,0.0%,48.535,45.301,0.0,0.0,-3.234,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,True,['proxy_inter_frame_gap_stddev_ms'],True,True,False
cfg45313b92,bandwidth_200kbps,2,2,50,50,500,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg45313b92-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg45313b92-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg45313b92\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg45313b92\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,173.7085,174.25,277.5,282.0,7.5,2.8%,13051.0,13051.0,0.0%,5.0,5.0,0.0%,48.535,52.885,0.0,0.0,4.349,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,True,False
cfg95629780,bandwidth_200kbps,2,2,50,50,1000,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg95629780-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg95629780-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg95629780\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg95629780\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,165.814,169.0,278.0,288.105,8.0,3.0%,13051.0,17722.0,35.8%,5.0,6.5,30.0%,48.535,1412.655,0.0,0.0,1364.12,0.0,250,250,0.0,0.0,"['steady:healthy', 'healthy_streak=1']",False,False,[],True,False,False
cfg4ff3a503,bandwidth_200kbps,2,2,50,100,500,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg4ff3a503-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg4ff3a503-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4ff3a503\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg4ff3a503\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,170.4755,174.75,279.5,282.0,9.5,3.5%,13051.0,15428.5,18.2%,5.0,6.0,20.0%,48.535,1076.421,0.0,0.186,1027.886,0.186,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,False,False
cfg97795464,bandwidth_200kbps,2,2,50,100,1000,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg97795464-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg97795464-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg97795464\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg97795464\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,162.215,163.5,269.525,271.105,-0.475,-0.2%,13051.0,15428.5,18.2%,5.0,6.0,20.0%,48.535,1079.594,0.0,0.0,1031.059,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,False,False
cfg08b602ab,bandwidth_200kbps,2,2,100,50,500,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg08b602ab-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg08b602ab-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg08b602ab\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg08b602ab\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,169.3445,167.25,273.0,274.345,3.0,1.1%,13051.0,13051.0,0.0%,5.0,5.0,0.0%,48.535,48.81,0.0,0.0,0.275,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,True,False
cfge0be645a,bandwidth_200kbps,2,2,100,50,1000,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfge0be645a-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfge0be645a-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfge0be645a\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfge0be645a\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,167.9055,164.75,271.0,272.345,1.0,0.4%,13051.0,13051.0,0.0%,5.0,5.0,0.0%,48.535,41.514,0.0,0.0,-7.021,0.0,250,250,0.0,0.0,['healthy_streak=1'],False,True,['proxy_inter_frame_gap_stddev_ms'],True,True,False
cfg74f517a5,bandwidth_200kbps,2,2,100,100,500,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfg74f517a5-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfg74f517a5-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg74f517a5\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfg74f517a5\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,170.3785,167.0,274.0,282.605,4.0,1.5%,13051.0,15882.5,21.7%,5.0,6.5,30.0%,48.535,1456.914,0.0,0.186,1408.378,0.186,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,False,False
cfgf9e25015,bandwidth_200kbps,2,2,100,100,1000,"['v2-qos0-bandwidth_200kbps-trial-01-seed-53701', 'v2-qos0-bandwidth_200kbps-trial-02-seed-53702']","['v3-qos0-bandwidth_200kbps-cfgf9e25015-trial-01-seed-53701', 'v3-qos0-bandwidth_200kbps-cfgf9e25015-trial-02-seed-53702']","['experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-01-seed-53701', 'experiments\\logs\\intel-v2-v3-adaptive-replicated-20260408-135251\\v2-qos0-bandwidth_200kbps\\trial-02-seed-53702']","['experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfgf9e25015\\trial-01-seed-53701', 'experiments\\logs\\intel-v3-adaptive-parameter-sweep-20260408-190517\\v3-qos0-bandwidth_200kbps-cfgf9e25015\\trial-02-seed-53702']",167.273,166.0,270.0,272.345,166.601,164.5,267.725,276.5,-2.275,-0.8%,13051.0,15429.0,18.2%,5.0,6.0,20.0%,48.535,1080.499,0.0,0.186,1031.964,0.186,250,250,0.0,0.0,['healthy_streak=1'],False,False,[],True,False,False
